Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	3	100	Song	RU	0	0.00223925
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	785	100	Song	DE	0	1.57046931
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	MY	0	0.00044785
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	BR	0	0.00248302
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	676	100	Song	SE	0	2.61318350
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	NO	0	0.03071008
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	NL	0	0.00970078
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	FI	0	0.00734815
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	5	100	Song	DK	0	0.01765779
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	CZ	0	0.00162814
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	7	100	Song	AU	0	0.01609541
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	47	100	Song	SK	0	0.16233282
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	CH	0	0.01225297
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	IT	0	0.01163731
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	EE	0	0.00394789
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	3	100	Song	ID	0	0.00131974
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	FR	0	0.00067915
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	CA	0	0.00343881
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	GR	0	0.00357373
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	SG	0	0.00068368
